zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
经纬田区,經緯田區,Meridian Grid Area,格子田エリア,경위 논밭 구역,Zone de la grille méridienne,Meridiannetz-Bereich,Area della Matrice meridiana,Área de la red de meridianos,Área da Rede Meridiana,Область сети меридиана,เขต​เส้นเมอริเดียน,Khu Lưới Kinh Tuyến,Area Jaringan Meridian
留言,留言,Message,伝言,메시지,Message,Nachricht,Messaggio,Mensaje,Mensagem,Сообщение,ข้อความ,Tin nhắn,Pesan
简洁的留言,簡潔的留言,Message: Clean and Simple,簡潔なメモ,짧은 메시지,Message clair et net,Nachricht: Klar und einfach,Messaggio: Chiaro e semplice,Mensaje: Limpio y simple,Mensagem: Breve e Simples,"Простое, короткое сообщение",ข้อความ​: สะอาด​และ​เรียบง่าย,Tin nhắn: Gọn Gàng và Đơn Giản,Pesan: Jelas dan Singkat
老师的警示留言,老師的警示留言,Message: Teacher's Warning,教師からの警告メッセージ,선생님이 남긴 경고 메시지,Message : avertissement d'un professeur,Nachricht: Warnung des Lehrers,Messaggio: Avviso dell'insegnante,Mensaje: Advertencia del maestro,Mensagem: Aviso do Professor,Сообщение: предупреждение преподавателя,ข้อความ​: คำเตือน​ของ​ครู,Tin Nhắn: Cảnh Cáo Của Giáo Viên,Pesan: Peringatan dari Guru
忧心实验的留言,憂心實驗的留言,Message: Worried Scientist,実験の行方を案じるメモ,실험을 걱정하는 메시지,Message d'un scientifique inquiet,Nachricht: Besorgter Wissenschaftler,Messaggio: Specialista in ansia,Mensaje: Científico preocupado,Mensagem: Cientista Preocupado,Сообщение обеспокоенного ученого,ข้อความ​: นักวิทยาศาสตร์​ที่​มี​ความกังวล,Tin nhắn: Nhà Khoa Học Đầy Lo Âu,Pesan: Ilmuwan yang Cemas
灵动信使十连凭证,靈動信使十連憑證,Messenger Express 10×Permit,「爛漫の使者」10回スカウト券,날렵한 전달자 헤드헌팅 10회 허가증,Permis Messager rapide ×10,10er-Boten-Express-RK-Genehmigung,Permesso CT-10: Consegna espressa,Permiso de Exprés de mensajera x10,Permissão 10× de Expresso Mensageiro,Разрешение на наем х10 «Быстрый гонец»,ใบอนุญาต​ผู้ส่งสาร​ด่วน​×10,Vé Liên Lạc Viên Hỏa Tốc ×10,Surat Izin 10× Kurir Kilat
灵动信使寻访凭证,靈動信使尋訪憑證,Messenger Express HH Permit,「爛漫の使者」スカウト券,날렵한 전달자 헤드헌팅 허가증,Permis REC Messager rapide,Boten-Express-RK-Genehmigung,Permesso CT: Consegna espressa,Permiso de C.R. de Exprés de mensajera,Permissão para CT de Expresso Mensageiro,Разрешение на наем «Быстрый гонец»,ใบอนุญาต​ HH ผู้ส่งสาร​ด่วน,Vé Chiêu Mộ Liên Lạc Viên Hỏa Tốc,Surat Izin HH Kurir Kilat
线条潦草的涂画,線條潦草的圖畫,Messy Scribble,線が乱れた落書き,대충 그린 그림,Gribouillis confus,Krakelige Handschrift,Scritte confusionarie,Garabatos desordenados,Rabisco bagunçado,Неряшливые записи,บันทึก​ลายมือ​ยุ่งเหยิง,Nét Chữ Nguệch Ngoạc,Coretan Berantakan
超距辉映管,超距輝映管,Metadiastima Photoemission Tube,超距離分光管,초거리 빛 반사 파이프,Tube de photoémission en métadiastema,"Metadiastima-Photoemissions-
röhre",Tubo a fotoemissione metaspaziale,Tubo de fotoemisión de metadiástima,Tubo de Fotoemissão Metadiastima,Внепредельная фотоэмиссионная трубка,หลอด​ปล่อยแสง​เม​ทา​ได​แอส​ทิมา,Ống Phát Quang Metadiastima,Tabung Fotoemisi Metadiastima
金属元件,金屬元件,Metal Component,金属部品,금속 부품,Composant en métal,Metall-Komponente,Componente metallico,Componente metálico,Componente de Metal,Металлический компонент,ส่วนประกอบ​โลหะ,Linh Kiện Kim Loại,Komponen Logam
超库存传输,超庫存傳輸,Metastorage Transfer,無在庫転送,무재고 전송,Transfert de métastockage,Metalager-Übertragung,Trasferimento metascorta,Transferencia de metaalmacenamiento,Transferência do Meta-armazenamento,Межхранилищный трансфер,การ​ถ่ายโอน​เม​กาส​ตอ​เร​จ,Chuyển Siêu Kho,Transfer Metastorage
气候监测站,氣象監測站,Meteorological Station,気象観測所,기상 관측소,Station météorologique,Wetterstation,Stazione metereologica,Estación meteorológica,Estação Meteorológica,Метеорологическая станция,สถานี​อุตุนิยมวิทยา,Trạm Khí Tượng,Stasiun Meteorologi
弭弗,弭弗,Mi Fu,ミ・フ,미브,Mi Fu,Mi Fu,Mi Fu,Mi Fu,Mi Fu,Ми Фу,หมี่​ฟู่,Mi Fu,Mi Fu
弭弗的信物,弭弗的信物,Mi Fu's Token,ミ・フの印,미브의 증표,Jeton de Mi Fu,Mi Fus Token,Gettone di Mi Fu,Ficha de Mi Fu,Símbolo de Mi Fu,Жетон Ми Фу,โท​เคน​ของ​หมี่​ฟู่,Tín Vật Của Mi Fu,Token Mi Fu
M.I.警用臂环,M. I.警用臂環,MI Security Armband,M.I.警備アームバンド,M. I. 경찰용 암밴드,Brassard d'IM Sécurité,MI-Sicherheitsarmband,Bracciale della sicurezza MI,Brazalete de Seguridad MI,Pulseira MI Security,Повязка охраны «Мьешко»,ปลอกแขน​รักษา​ความปลอดภัย​ MI,Băng Tay An Ninh MI,Pita Lengan MI Security
M.I.警用护甲,M. I.警用護甲,MI Security Armor,M.I.警備防具,M. I. 경찰용 방어구,Armure d'IM Sécurité,MI-Sicherheitsrüstung,Armatura della sicurezza MI,Armadura de seguridad MI,Armadura MI Security,Броня охраны «Мьешко»,เกราะ​รักษา​ความปลอดภัย​ MI,Giáp An Ninh MI,Armor MI Security
M.I.警用护甲·壹型,M. I.警用護甲·I,MI Security Armor T1,M.I.警備防具Ⅰ,M. I. 경찰용 방어구 · I,Armure d'IM Sécurité G1,MI-Sicherheitsrüstung S1,Armatura della sicurezza MI O1,Armadura de seguridad MI T1,Armadura MI Security T1,Броня охраны «Мьешко» К1,เกราะ​รักษา​ความปลอดภัย​ MI T1,Giáp An Ninh MI T1,Armor MI Security T1
M.I.警用手套,M. I.警用手套,MI Security Gloves,M.I.警備グローブ,M. I. 경찰용 장갑,Gants d'IM Sécurité,MI-Sicherheitshandschuhe,Guanti della sicurezza MI,Guantes de seguridad MI,Luvas MI Security,Перчатки охраны «Мьешко»,ถุงมือ​รักษา​ความปลอดภัย​ MI,Găng Tay An Ninh MI,Sarung Tangan MI Security
M.I.警用手套·壹型,M. I.警用手套·I,MI Security Gloves T1,M.I.警備グローブⅠ,M. I. 경찰용 장갑 · I,Gants d'IM Sécurité G1,MI-Sicherheitshandschuhe S1,Guanti della sicurezza MI O1,Guantes de seguridad MI T1,Luvas MI Security T1,Перчатки охраны «Мьешко» К1,ถุงมือ​รักษา​ความปลอดภัย​ MI T1,Găng Tay An Ninh MI t1,Sarung Tangan MI Security T1
M.I.警用手环,M. I.警用手環,MI Security Hands PPE,M.I.警備ブレスレット,M. I. 경찰용 장갑(팔찌),EPI pour mains d'IM Sécurité,MI-Sicherheits-PSA-Handschuhe,DPI per mani della sicurezza MI,EPP para manos de seguridad MI,EPI para as Mãos MI Security,Прочное СИЗ для рук «Мьешко»,PPE มือ​รักษา​ความปลอดภัย​ MI,Vòng Tay An Ninh MI,APD Tangan MI Security
M.I.警用手环·壹型,M. I.警用手環·I,MI Security Hands PPE T1,M.I.警備ブレスレットⅠ,M. I. 경찰용 장갑(팔찌) · I,EPI pour mains d'IM Sécurité G1,MI-Sicherheits-PSA-Handschuhe S1,DPI per mani della sicurezza MI O1,EPP para manos de seguridad MI T1,EPI para as Mãos MI Security T1,Прочное СИЗ для рук «Мьешко» К1,PPE มือ​รักษา​ความปลอดภัย​ MI T1,Vòng Tay An Ninh MI T1,APD Tangan MI Security T1
M.I.警用罩衣,M. I.警用罩衣,MI Security Overalls,M.I.警備マント,M. I. 경찰용 망토,Combinaison d'IM Sécurité,MI-Sicherheitsanzug,Tenuta della sicurezza MI,Overol de seguridad MI,Macacão MI Security,Комбинезон охраны «Мьешко»,ชุด​หมี​รักษา​ความปลอดภัย​ MI,Đồ Bảo Hộ An Ninh MI,Seragam Terusan MI Security
M.I.警用罩衣·壹型,M. I.警用罩衣·I,MI Security Overalls T1,M.I.警備マントⅠ,M. I. 경찰용 망토 · I,Combinaison d'IM Sécurité G1,MI-Sicherheitsanzug S1,Tenuta della sicurezza MI O1,Overol de Seguridad MI T1,Macacão MI Security T1,Комбинезон охраны «Мьешко» К1,ชุด​หมี​รักษา​ความปลอดภัย​ MI T1,Đồ Bảo Hộ An Ninh MI T1,Seragam Terusan MI Security T1
M.I.警用罩衣·贰型,M. I.警用罩衣·II,MI Security Overalls T2,M.I.警備マントⅡ,M. I. 경찰용 망토 · II,Combinaison d'IM Sécurité G2,MI-Sicherheitsanzug S2,Tenuta della sicurezza MI O2,Overol de seguridad MI T2,Macacão MI Security T2,Комбинезон охраны «Мьешко» К2,ชุด​หมี​รักษา​ความปลอดภัย​ MI T2,Đồ Bảo Hộ An Ninh MI T2,Seragam Terusan MI Security T2
M.I.警用刺刃,M. I.警用刺刃,MI Security Push Knife,M.I.警備ナイフ,M. I. 경찰용 단검,Poignard à propulsion d'IM Sécurité,MI-Sicherheitsfaustmesser,Pugnale a scatto della sicurezza MI,Navaja de puño de seguridad MI,Punhal MI Security,Тычковый нож охраны «Мьешко»,มีด​พุช​รักษา​ความปลอดภัย​ MI,Dao Đẩy An Ninh MI,Pisau Tinju MI Security
M.I.警用刺刃·壹型,M. I.警用刺刃·I,MI Security Push Knife T1,M.I.警備ナイフⅠ,M. I. 경찰용 단검 · I,Poignard à propulsion d'IM Sécurité G1,MI-Sicherheitsfaustmesser S1,Pugnale a scatto della sicurezza MI O1,Navaja de puño de seguridad MI T1,Punhal MI Security T1,Тычковый нож охраны «Мьешко» К1,มีด​พุช​รักษา​ความปลอดภัย​ MI T1,Dao Đẩy An Ninh MI T1,Pisau Tinju MI Security T1
M.I.警用瞄具,M. I.警用瞄具,MI Security Scope,M.I.警備照準器,M. I. 경찰용 조준기,Scanner d'IM Sécurité,MI-Sicherheitszielfernrohr,Mirino della sicurezza MI,Mira de seguridad MI,Luneta MI Security,Прицел охраны «Мьешко»,กล้อง​เล็ง​รักษา​ความปลอดภัย​ MI,Kính Ngắm An Ninh MI,Teropong MI Security
M.I.警用瞄具·壹型,M. I.警用瞄具·I,MI Security Scope T1,M.I.警備照準器Ⅰ,M. I. 경찰용 조준기 · I,Scanner d'IM Sécurité G1,MI-Sicherheitszielfernrohr S1,Mirino della sicurezza MI O1,Mira de seguridad MI T1,Luneta MI Security T1,Прицел охраны «Мьешко» К1,กล้อง​เล็ง​รักษา​ความปลอดภัย​ MI T1,Kính Ngắm An Ninh MI T1,Teropong MI Security T1
M.I.警用工具组,M. I.警用工具組,MI Security Toolkit,M.I.警備マルチツール,M. I. 경찰용 다용도 공구,Trousse à outils d'IM Sécurité,MI-Sicherheitswerkzeugset,Multiutensile della sicurezza MI,Kit de herramientas de seguridad MI,Kit de Ferramentas MI Security,Мультитул охраны «Мьешко»,ชุด​เครื่องมือ​รักษา​ความปลอดภัย​ MI,Bộ Công Cụ An Ninh MI,Set Alat MI Security
断瘴廊,斷瘴廊,Miasma's End,絶霧通路,단장 회랑,Lisière des miasmes,Ende des Nebels,Fine del miasma,Fin del Miasma,Fim do Miasma,Предел миазмов,สุดเขต​หมอก​ควัน,Điểm Cuối Sương Mù,Ujung Miasma
矿场护甲,礦場護甲,Miner Armor,鉱山防具,광산 방어구,Armure de mineur,Bergarbeiter-Rüstung,Armatura da minatore,Armadura de minero,Armadura de Mineiro,Броня шахтера,เกราะ​คน​เหมือง,Giáp Thợ Mỏ,Armor Penambang
矿场护甲·壹型,礦場護甲·I,Miner Armor T1,鉱山防具Ⅰ,광산 방어구 · I,Armure de mineur G1,Bergarbeiter-Rüstung S1,Armatura da minatore O1,Armadura de minero T1,Armadura de Mineiro T1,Броня шахтера К1,เกราะ​คน​เหมือง​ T1,Giáp Thợ Mỏ T1,Armor Penambang T1
矿场滤尘衣,礦場濾塵衣,Miner Cleansuit,鉱山保護服,광산 방진복,Uniforme de mineur,Bergarbeiter-Reinraumanzug,Tuta protettiva da minatore,Traje protector de minero,Farda de Mineiro,Защитный костюм шахтера,เค​รื่่​อง​แบบ​คนงาน​เหมือง,Bộ Đồ Bảo Hộ Thợ Mỏ,Setelan Steril Penambang
矿场联络仪,礦場聯絡儀,Miner Comm,鉱山通信機,광산 통신기,Communicateur de mineur,Bergarbeiter-Funkgerät,Trasmittente da minatore,Comunicador de minero,Comunicador de Mineiro,Рация шахтера,วิทยุสื่อสาร​คน​เหมือง,Máy Liên Lạc Thợ Mỏ,Komunikator Penambang
矿场联络仪·壹型,礦場聯絡儀·I,Miner Comm T1,鉱山通信機Ⅰ,광산 통신기 · I,Communicateur de mineur G1,Bergarbeiter-Funkgerät S1,Trasmittente da minatore O1,Comunicador de minero T1,Comunicador de Mineiro T1,Рация шахтера К1,วิทยุสื่อสาร​คน​เหมือง​ T1,Máy Liên Lạc Thợ Mỏ T1,Komunikator Penambang T1
矿场压缩核,礦場壓縮核,Miner Compression Core,鉱山圧縮装置,광산 압축 장치,Noyau de compression de mineur,Bergarbeiter-Kompressionskern,Nucleo di compressione da minatore,Núcleo de compresión de minero,Núcleo de Compressão de Mineiro,Ядро компрессии шахтера,แกน​บีบ​อัด​คน​เหมือง,Lõi Nén Thợ Mỏ,Inti Kompresi Penambang
